,Company,Product,Inches,Cpu,Ram,Weight,Price_euros
224,Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,2456.34
225,Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,832.0
226,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.3kg,859.01
227,Asus,Vivobook X541UV-DM1217T,15.6,Intel Core i5 7200U 2.5GHz,8GB,2kg,769.0
228,Asus,K756UX-T4340T ,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.69kg,891.0
229,HP,ZBook 15u,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.9kg,1269.0
230,Asus,Pro P2540UA-XO0198T,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.37kg,398.99
231,HP,15-rb013nv ,15.6,AMD E-Series 9000e 1.5GHz,4GB,2.1kg,330.0
232,Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1499.0
233,Dell,Vostro 5468,14.0,Intel Core i5 7200U 2.5GHz,8GB,1.6kg,859.0
234,Acer,Aspire R7,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.6kg,689.0
235,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.36kg,899.0
236,Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,390.0
237,Asus,X555QG-DM242T ,15.6,AMD A10-Series A10-9620P 2.5GHz,4GB,2.2kg,575.0
238,Asus,ROG G703VI-E5062T,17.3,Intel Core i7 7820HK 2.9GHz,32GB,4.7kg,3890.0
239,Acer,Nitro AN515-51,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,846.0
240,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,589.0
241,Asus,VivoBook Pro,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,1145.0
242,Asus,F756UX-T4201D ,17.3,Intel Core i7 7500U 2.7GHz,8GB,2.69kg,889.0
243,Dell,Inspiron 5577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.56kg,879.0
244,Lenovo,Yoga 910-13IKB,13.9,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1079.0
245,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,985.0
246,HP,15-bs015dx ,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.04kg,559.0
247,Asus,Rog G701VIK-BA060T,17.3,Intel Core i7 7820HK 2.9GHz,16GB,3.6kg,2999.0
248,HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,675.0
249,Apple,MacBook Pro,13.3,Intel Core i5 3.1GHz,8GB,1.37kg,2040.0
250,Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.08kg,819.0
251,Asus,ROG G752VSK-GC493T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.3kg,1799.0
252,Asus,X505BP-BR019T ,15.6,AMD A9-Series 9420 3GHz,4GB,1.68kg,469.0
253,Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,8GB,1.37kg,1849.0
254,Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,702.0
255,Dell,Vostro 5370,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.41kg,949.0
256,HP,15-BW094nd ,15.6,AMD A6-Series A6-9220 2.5GHz,8GB,1.91kg,445.9
257,HP,Envy 17-U275cl,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.9kg,1059.0
258,MSI,GT73EVR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.14kg,2499.0
259,Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1699.0
260,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1142.0
261,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,444.0
262,HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.1kg,722.0
263,Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,657.0
264,Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.24kg,565.0
265,Dell,Inspiron 5579,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.67kg,799.0
266,Asus,ZenBook Flip,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.1kg,1499.0
267,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,467.0
268,HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.5kg,1018.0
269,Lenovo,V330-15IKB ,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.05kg,880.0
270,Apple,MacBook Pro,13.3,Intel Core i5 2.9GHz,8GB,1.37kg,1958.9
271,Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,16GB,3.2kg,1549.0
272,Dell,Inspiron 3576,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.14kg,735.07
273,Lenovo,ThinkPad X1,14.0,Intel Core i7 6600U 2.6GHz,16GB,1.36kg,2499.0
274,Toshiba,Satellite Pro,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,812.0
275,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.3kg,713.07
276,Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1099.0
277,Acer,Aspire A515-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,745.0
278,Lenovo,IdeaPad 320-17ISK,17.3,Intel Core i3 6006U 2GHz,4GB,2.8kg,489.0
279,Lenovo,IdeaPad 320-17IKBR,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,849.0
280,Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i7 7500U 2.7GHz,6GB,2.8kg,859.0
281,Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.25kg,428.0
282,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,829.0
283,Lenovo,Ideapad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.2kg,579.0
284,Acer,Aspire A517-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,3kg,951.0
285,Acer,SP315-51 ,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.15kg,659.0
286,Lenovo,Thinkpad T570,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.95kg,1097.0
287,Asus,VivoBook S15,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.7kg,977.0
288,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1179.0
289,Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,659.01
290,Acer,Chromebook C910-C2ST,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2GB,2.19kg,199.0
291,Asus,FX753VD-GC071T ,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3kg,1187.0
292,HP,17-BS037cl ,17.3,Intel Core i3 6006U 2GHz,8GB,2.54kg,489.0
293,Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1829.0
294,Lenovo,V330-15IKB ,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.05kg,739.0
295,Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,3.2kg,1299.0
296,Acer,Aspire A715-71G,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,979.0
297,Dell,Precision 7720,17.3,Intel Core i7 7820HQ 2.9GHz,16GB,3.42kg,2884.86
298,Lenovo,IdeaPad 310-15ABR,15.6,AMD A10-Series 9600P 2.4GHz,6GB,2.4kg,499.0
299,Asus,ZenBook UX530UQ-PRO,15.6,Intel Core i7 7500U 2.7GHz,16GB,1.63kg,1468.0
300,Asus,VivoBook S14,14.0,Intel Core i3 7100U 2.4GHz,4GB,1.3kg,509.0
301,Asus,Rog GL702VS-GC095T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,2122.0
302,Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.8kg,649.0
303,Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,549.0
304,Asus,GL553VE-FY082T ,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1265.0
305,Lenovo,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.2kg,359.99
306,HP,EliteBook x360,13.3,Intel Core i7 7600U 2.8GHz,16GB,1.28kg,1975.0
307,Toshiba,Satellite Pro,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,1043.0
308,Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,819.0
309,HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,469.0
310,Lenovo,IdeaPad 720S-13IKB,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.1kg,999.0
311,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.21kg,2499.0
312,MSI,GE63VR 7RF,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,2099.0
313,Acer,ES1-523-84K7 ,15.6,AMD A8-Series 7410 2.2GHz,8GB,2.23kg,469.0
314,Asus,VivoBook Flip,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,1.1kg,275.0
315,Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.33kg,844.0
316,HP,Spectre x360,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.29kg,2449.0
317,Lenovo,ThinkPad 13,13.3,Intel Celeron Dual Core 3855U 1.6GHz,4GB,1.45kg,459.9
318,HP,ProBook 640,14.0,Intel Core i5 7200U 2.5GHz,8GB,1.95kg,980.0
319,Acer,TravelMate B,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,1.4kg,485.0
320,HP,Elitebook 840,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.48kg,1292.0
321,Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,4GB,2.79kg,589.0
322,Asus,ZenBook UX410UA-GV183T,14.0,Intel Core i7 7500U 2.7GHz,8GB,2kg,1094.0
323,HP,ProBook 450,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,902.0
324,Acer,Aspire 5,15.6,AMD A12-Series 9720P 2.7GHz,8GB,2.2kg,659.0
325,Lenovo,IdeaPad 120S-14IAP,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.44kg,292.0
326,Acer,Aspire E5-575,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.23kg,549.0
327,Asus,VivoBook S15,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.7kg,1049.9
328,HP,Elitebook 820,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.26kg,1335.0
329,Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,32GB,2.06kg,2639.0
330,MSI,GL72M 7REX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1199.0
331,Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,943.0
332,Asus,UX510UX-CN269T ,14.0,Intel Core i7 7500U 2.7GHz,8GB,2kg,1334.0
333,Lenovo,V310-15ISK ,15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,449.0
334,Asus,FX553VD-FY647T ,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,999.0
335,HP,EliteBook 840,14.0,Intel Core i5 7300U 2.6GHz,8GB,1.48kg,1268.0
336,Dell,Inspiron 7570,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.9kg,1049.0
337,HP,Elitebook 850,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.84kg,1144.0
338,Asus,X541NA ,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,274.99
339,Dell,Inspiron 7570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2kg,1142.75
340,Dell,Inspiron 3552,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,2.2kg,274.9
341,Lenovo,IdeaPad 320-15ABR,15.6,AMD A12-Series 9720P 3.6GHz,12GB,2.2kg,899.0
342,HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.1kg,716.0
343,Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,16GB,1.4kg,2099.0
344,Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1579.0
345,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1129.0
346,HP,Stream 14-AX001nv,14.0,Intel Celeron Dual Core N3060 1.6GHz,2GB,1.44kg,279.0
347,Dell,Latitude 5590,15.6,Intel Core i7 8650U 1.9GHz,16GB,1.88kg,1607.96
348,Asus,VivoBook Flip,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.5kg,375.0
349,Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.9kg,663.0
350,Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2027.42
351,HP,Elitebook 850,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.84kg,1304.0
352,MSI,GP72MVR 7RFX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1409.0
353,HP,Zbook 15,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.6kg,1738.27
354,Toshiba,Tecra A50-C-21G,15.6,Intel Core i7 6500U 2.5GHz,16GB,2.4kg,1403.0
355,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,970.9
356,Lenovo,IdeaPad 320-15IAP,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.2kg,321.99
357,Dell,Inspiron 7577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.65kg,999.0
358,Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.36kg,557.37
359,Dell,Latitude 7480,14.0,Intel Core i5 7300U 2.6GHz,8GB,1.36kg,1427.0
360,HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,439.0
361,Asus,Zenbook UX410UA-GV027T,14.0,Intel Core i5 7200U 2.5GHz,8GB,2kg,945.0
362,Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.8kg,719.0
363,HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,639.0
364,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,499.0
365,HP,15-AY023na ,15.6,Intel Pentium Quad Core N3710 1.6GHz,8GB,2.04kg,389.0
366,Dell,Inspiron 5770,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,1085.0
367,Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,809.0
368,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.33kg,899.0
369,HP,Elitebook 1040,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.36kg,1750.0
370,Asus,ZenBook Flip,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.26kg,1099.0
371,Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,426.0
372,Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,16GB,3.25kg,2199.0
373,Lenovo,IdeaPad 110-17ACL,17.3,AMD A8-Series 7410 2.2GHz,4GB,2.6kg,489.0
374,Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.62kg,869.01
375,HP,15-bw003nv ,15.6,AMD A9-Series 9420 3GHz,4GB,1.91kg,488.99
376,Lenovo,Yoga 11e,11.6,Intel Celeron Quad Core N3450 1.1GHz,4GB,1.59kg,553.0
377,Dell,Inspiron 3552,15.6,Intel Celeron Dual Core N3060 1.60GHz,4GB,1.8kg,309.0
378,Asus,VivoBook E403NA,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.5kg,286.0
379,Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,846.0
380,HP,Omen 17-w212nv,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3.35kg,1191.0
381,Lenovo,V310-15ISK ,15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,403.5
382,Asus,ROG Strix,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.3kg,1655.0
383,Lenovo,IdeaPad 720S-14IKB,14.0,Intel Core i5 7200U 2.5GHz,8GB,1.5kg,1099.0
384,Asus,Zenbook Flip,13.3,Intel Core i7 7500U 2.7GHz,16GB,1.1kg,1748.9
385,Lenovo,Thinkpad X1,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.13kg,2282.0
386,Lenovo,Ideapad 510S-13IKB,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.5kg,549.0
387,Dell,Precision 3510,15.6,Intel Core i5 6440HQ 2.6GHz,8GB,2.23kg,1369.0
388,Dell,Precision 5520,15.6,Intel Core i7 6820HQ 2.7GHz,8GB,2kg,2135.0
389,Lenovo,ThinkPad X1,14.0,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,2509.0
390,Asus,Rog GL753VD-GC042T,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3kg,1039.0
391,Asus,Rog GL753VE-GC070T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3kg,1591.0
392,Acer,Aspire 5,15.6,Intel Core i5 8250U 1.6GHz,12GB,2.2kg,693.99
393,MSI,Leopard GP72M,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1349.0
394,Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.33kg,778.87
395,HP,15-BW004nv ,15.6,AMD A9-Series 9420 3GHz,4GB,1.91kg,499.0
396,Lenovo,ThinkPad E580,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,1229.56
397,Lenovo,ThinkPad L470,14.0,Intel Core i5 7200U 2.5GHz,8GB,1.9kg,938.0
398,Dell,Precision M5520,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1.78kg,2712.0
399,Lenovo,Thinkpad X1,14.0,Intel Core i7 7500U 2.7GHz,16GB,1.13kg,2625.0
400,Lenovo,IdeaPad 320-15IAP,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.2kg,306.0
401,Asus,FX753VD-GC461T ,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,1529.0
402,Lenovo,ThinkPad E580,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,1144.5
403,Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,879.0
404,MSI,GE73VR 7RF,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,2249.0
405,Asus,Zenbook 3,14.0,Intel Core i7 7500U 2.7GHz,8GB,1.10kg,1873.0
406,Toshiba,Portege Z30-C-16P,13.3,Intel Core i7 6500U 2.5GHz,16GB,1.2kg,1747.0
407,Dell,Latitude 7480,14.0,Intel Core i7 7600U 2.8GHz,8GB,1.36kg,1680.0
408,Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,409.0
409,Lenovo,Lenovo IdeaPad,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,1.15kg,304.45
410,Lenovo,ThinkPad P51,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.67kg,1925.0
411,Lenovo,Thinkpad T470p,14.0,Intel Core i7 7700HQ 2.8GHz,8GB,1.7kg,1943.0
412,HP,15-BS028nv ,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,469.0
413,Acer,Aspire R7,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.6kg,789.01
414,Asus,ZenBook Flip,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.27kg,928.0
415,Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,598.9
416,Dell,Latitude 3380,13.3,Intel Core i3 6006U 2GHz,4GB,1.65kg,689.0
417,HP,EliteBook 1040,14.0,Intel Core i7 6500U 2.5GHz,8GB,1.43kg,1500.0
418,Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.14kg,539.95
419,Lenovo,ThinkPad E480,14.0,Intel Core i7 8550U 1.8GHz,8GB,1.75kg,1215.38
420,Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2kg,1899.0
421,Chuwi,LapBook 12.3,12.3,Intel Celeron Quad Core N3450 1.1GHz,6GB,1.4kg,449.0
422,HP,ProBook 650,15.6,Intel Core i7 7820HQ 2.9GHz,8GB,2.31kg,1427.0
423,Asus,X542UQ-DM117 ,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.3kg,597.0
424,Dell,Alienware 17,17.3,Intel Core i7 7820HK 2.9GHz,16GB,4.42kg,2799.0
425,Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,1159.0
426,Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,1142.4
427,Dell,Latitude 5480,14.0,Intel Core i7 7600U 2.8GHz,8GB,1.6kg,1099.0
428,HP,Omen 17-w207nv,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,3.35kg,1999.0
429,Mediacom,FlexBook Edge,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.16kg,299.0
430,Samsung,Chromebook 3,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.15kg,269.0
431,Lenovo,Thinkpad 13,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.4kg,1010.0
432,Lenovo,IdeaPad 320s-14IKB,14.0,Intel Core i3 7130U 2.7GHz,4GB,1.7kg,599.0
433,Lenovo,Thinkpad T570,15.6,Intel Core i7 7600U 2.8GHz,16GB,2.3kg,2445.0
434,Lenovo,Thinkpad P51,15.6,Intel Core i7 7820HQ 2.9GHz,16GB,2.5kg,2449.0
435,Asus,Rog Strix,17.3,AMD Ryzen 1600 3.2GHz,8GB,3.2kg,1695.0
436,HP,15-ra044nv ,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,2.1kg,347.0
437,Google,Pixelbook ,12.3,Intel Core i7 7Y75 1.3GHz,16GB,1.1kg,2199.0
438,Lenovo,ThinkPad T470s,14.0,Intel Core i7 7500U 2.7GHz,24GB,1.32kg,2382.0
439,Asus,VivoBook Max,15.6,Intel Core i5 7200U 2.5GHz,4GB,2kg,559.0
