Company,Product,Inches,Cpu,Ram,Weight,Price_euros
Apple,MacBook Pro,13.3,Intel Core i5 2.3GHz,8GB,1.37kg,1339.69
Apple,Macbook Air,13.3,Intel Core i5 1.8GHz,8GB,1.34kg,898.94
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,575
Apple,MacBook Pro,15.4,Intel Core i7 2.7GHz,16GB,1.83kg,2537.45
Apple,MacBook Pro,13.3,Intel Core i5 3.1GHz,8GB,1.37kg,1803.6
Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,400
Apple,MacBook Pro,15.4,Intel Core i7 2.2GHz,16GB,2.04kg,2139.97
Apple,Macbook Air,13.3,Intel Core i5 1.8GHz,8GB,1.34kg,1158.7
Asus,ZenBook UX430UN,14,Intel Core i7 8550U 1.8GHz,16GB,1.3kg,1495
Acer,Swift 3,14,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,770
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.86kg,393.9
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,344.99
Apple,MacBook Pro,15.4,Intel Core i7 2.8GHz,16GB,1.83kg,2439.97
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,498.9
Apple,"MacBook 12""",12,Intel Core M m3 1.2GHz,8GB,0.92kg,1262.4
Apple,MacBook Pro,13.3,Intel Core i5 2.3GHz,8GB,1.37kg,1518.55
Dell,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,745
Apple,MacBook Pro,15.4,Intel Core i7 2.9GHz,16GB,1.83kg,2858
Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.2kg,499
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.22kg,979
Asus,Vivobook E200HA,11.6,Intel Atom x5-Z8350 1.44GHz,2GB,0.98kg,191.9
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,999
HP,255 G6,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,1.86kg,258
Dell,Inspiron 5379,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.62kg,819
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,Intel Core i7 8550U 1.8GHz,8GB,1.91kg,659
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.3kg,418.64
Apple,MacBook Air,13.3,Intel Core i5 1.6GHz,8GB,1.35kg,1099
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,800
Dell,Latitude 5590,15.6,Intel Core i7 8650U 1.9GHz,8GB,1.88kg,1298
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,896
Chuwi,"LapBook 15.6""",15.6,Intel Atom x5-Z8300 1.44GHz,4GB,1.89kg,244.99
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),14,AMD E-Series E2-6110 1.5GHz,2GB,1.65kg,199
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,AMD A6-Series 9220 2.5GHz,4GB,2.71kg,439
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.2kg,1869
Apple,MacBook Air,13.3,Intel Core i5 1.6GHz,8GB,1.35kg,998
Lenovo,IdeaPad 120S-14IAP,14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.44kg,249
Acer,Aspire 3,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.1kg,367
Dell,Inspiron 5770,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,979
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.86kg,488.69
HP,ProBook 450,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,879
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,Intel Core i3 6006U 2GHz,4GB,2kg,389
Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1499
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,522.99
Acer,Aspire A515-51G,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.2kg,682
Dell,Inspiron 7773,17.3,Intel Core i5 8250U 1.6GHz,12GB,2.77kg,999
Apple,MacBook Pro,13.3,Intel Core i5 2.0GHz,8GB,1.37kg,1419
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,369
Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,8GB,3.2kg,1299
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,639
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.8kg,466
Lenovo,Yoga Book,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,0.69kg,319
Acer,Aspire A515-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,841
HP,255 G6,15.6,AMD A6-Series 9220 2.5GHz,4GB,1.86kg,398.49
HP,ProBook 430,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.49kg,1103
Acer,Aspire 3,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.4kg,384
Dell,Inspiron 3576,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.13kg,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,Intel Core i3 6006U 2GHz,4GB,1.91kg,439
Asus,VivoBook Max,15.6,Intel Core i5 7200U 2.5GHz,4GB,2kg,586.19
MSI,GS73VR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.43kg,2449
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,Intel Core i3 6006U 2GHz,4GB,2kg,415
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.8kg,1299
Dell,Vostro 5471,14,Intel Core i5 8250U 1.6GHz,8GB,1.7kg,879
Lenovo,IdeaPad 520S-14IKB,14,Intel Core i3 7130U 2.7GHz,8GB,1.7kg,599
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14,Intel Core i5 8250U 1.6GHz,8GB,1.4kg,941
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,690
Asus,ZenBook Pro,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,1983
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,438.69
HP,Stream 14-AX040wm,14,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.44kg,229
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,549
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,3kg,949
Microsoft,Surface Laptop,13.5,Intel Core i5 7200U 2.5GHz,4GB,1.252kg,1089
Dell,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.4kg,955
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,870
MSI,GL72M 7RDX,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,2.7kg,1095
Acer,Aspire E5-475,14,Intel Core i3 6006U 2GHz,8GB,2.1kg,389
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.2kg,949
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,519
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,855
Acer,Aspire A515-51G-32MX,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.2kg,530
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,977
Dell,Latitude 5590,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.88kg,1096.16
Apple,"MacBook 12""",12,Intel Core i5 1.3GHz,8GB,0.92kg,1510
HP,ProBook 440,14,Intel Core i5 8250U 1.6GHz,8GB,1.63kg,860
Lenovo,IdeaPad 320-15AST,15.6,AMD A6-Series 9220 2.5GHz,4GB,2.2kg,399
Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,395
Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1349
HP,Pavilion 15-CK000nv,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.83kg,699
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.96kg,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.2kg,1449
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.21kg,1649
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,AMD FX 9830P 3GHz,8GB,2.45kg,699
Acer,Aspire 5,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,689
HP,Probook 430,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.49kg,1197
Dell,Inspiron 7577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.65kg,1195
Asus,Zenbook UX430UA,14,Intel Core i7 7500U 2.7GHz,8GB,1.25kg,1049
Acer,Spin 5,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.5kg,847
Dell,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,599.9
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,485
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,Intel Core i3 7100U 2.4GHz,6GB,2kg,577
HP,Omen 15-ce007nv,15.6,Intel Core i7 7700HQ 2.8GHz,12GB,2.62kg,1249
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.91kg,719
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,2.1kg,349
Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,647
HP,Envy 13-ad009n,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1119
Microsoft,Surface Laptop,13.5,Intel Core i5 7200U 2.5GHz,8GB,1.252kg,1340
HP,Pavilion 14-BK001nv,14,Intel Core i5 7200U 2.5GHz,6GB,1.58kg,659
Lenovo,Ideapad 310-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14,Intel Core i7 7500U 2.7GHz,8GB,1.3kg,1193
MSI,GP62M 7REX,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.2kg,1299
Lenovo,Thinkpad T470,14,Intel Core i7 7500U 2.7GHz,8GB,1.58kg,1480
Asus,VivoBook S15,15.6,Intel Core i7 8550U 1.8GHz,16GB,1.5kg,1262
Dell,XPS 13,13.3,Intel Core i7 7560U 2.4GHz,8GB,1.23kg,1379
Lenovo,ThinkPad Yoga,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.37kg,1399
HP,Probook 440,14,Intel Core i5 8250U 1.6GHz,4GB,1.63kg,722
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.21kg,1629
HP,Spectre x360,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.26kg,1398.99
HP,Probook 440,14,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,1084
Dell,Inspiron 7570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.16kg,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,Intel Core i3 6006U 2GHz,4GB,2kg,564
Asus,VivoBook S15,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.7kg,1118
Acer,Spin 3,15.6,Intel Core i3 7100U 2.4GHz,6GB,2.1kg,479
MSI,GS63VR 7RG,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,2241.5
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,629
HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.5kg,1271
Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,451
HP,250 G6,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.86kg,259
HP,Probook 440,14,Intel Core i5 8250U 1.6GHz,8GB,1.63kg,812
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,14,AMD E-Series 6110 1.5GHz,4GB,1.65kg,277.99
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.8kg,1396
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,928
Dell,Inspiron 5567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.36kg,638.99
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,449
Acer,Swift 3,14,Intel Core i7 8550U 1.8GHz,8GB,1.6kg,884
Acer,Aspire A515-51G-37JS,15.6,Intel Core i3 7130U 2.7GHz,4GB,2.2kg,572
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),15.6,Intel Core i7 7500U 2.7GHz,8GB,2.05kg,598
HP,Probook 440,14,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,988
Lenovo,V110-15IAP (N3350/4GB/1TB/No,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.9kg,252.36
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,3kg,938
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,499
HP,Envy 13-AD007nv,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.32kg,699
Acer,Aspire 5,17.3,Intel Core i3 7130U 2.7GHz,4GB,3kg,655
Lenovo,ThinkPad E480,14,Intel Core i5 8250U 1.6GHz,8GB,1.75kg,1116.02
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,869
Toshiba,Satellite Pro,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,602
HP,255 G6,15.6,AMD A6-Series 9220 2.5GHz,4GB,1.86kg,369
Asus,ZenBook UX430UA,14,Intel Core i7 8550U 1.8GHz,8GB,1.25kg,1099
HP,EliteBook Folio,12.5,Intel Core M 6Y75 1.2GHz,8GB,0.97kg,2014
Asus,X541NA (N3350/4GB/1TB/FHD/W10),15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,344
MSI,GE72MVR 7RG,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,2029
Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,447
Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.56kg,1249.26
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,899
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,498
MSI,GE73VR 7RE,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,1890
HP,EliteBook 840,14,Intel Core i5 7500U 2.7GHz,4GB,1.48kg,1082
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,15.6,Intel Core i5 8250U 1.6GHz,6GB,1.91kg,619
Lenovo,Yoga 520-14IKB,14,Intel Core i3 7100U 2.4GHz,4GB,1.74kg,629
Asus,ZenBook Flip,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.1kg,1315
Dell,Inspiron 5579,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.56kg,1049
Toshiba,Satellite Pro,15.6,Intel Core i3 6006U 2.2GHz,4GB,2.1kg,447
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,15.6,AMD A9-Series 9420 3GHz,4GB,2.03kg,403
Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,4GB,3kg,805
Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.13kg,728
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1079
Acer,Aspire A315-31,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.1kg,348
MSI,GE63VR 7RE,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1799
Acer,Aspire 3,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.1kg,363.51
Dell,Inspiron 5577,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.56kg,1060.49
Acer,Aspire A517-51G,17.3,Intel Core i5 8250U 1.6GHz,8GB,3kg,854
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,754
Huawei,MateBook X,13,Intel Core i5 7200U 2.5GHz,8GB,1.05kg,1349
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.71kg,699
Lenovo,IdeaPad 320-15AST,15.6,AMD A6-Series 9220 2.9GHz,4GB,2.2kg,309
Toshiba,Satellite Pro,15.6,Intel Core i3 7100U 2.4GHz,4GB,2kg,489
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,923
Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.3kg,459
Acer,Aspire A315-51,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,449
MSI,GT80S 6QF-074US,18.4,Intel Core i7 6920HQ 2.9GHz,32GB,4.4kg,2799
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.90kg,813
HP,Spectre x360,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.29kg,1499
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16GB,2.02kg,1049
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.23kg,1399
Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,16GB,1.4kg,1849
Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,793
Xiaomi,Mi Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.95kg,1199
Dell,Inspiron 7773,17.3,Intel Core i7 8550U 1.8GHz,16GB,2.77kg,1549
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2397
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,779
Acer,Swift 7,13.3,Intel Core i5 7Y54 1.2GHz,8GB,1.12kg,989
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1085
Lenovo,Thinkpad Yoga,14,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,2824
Vero,K147 (N3350/4GB/32GB/FHD/W10),14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.3kg,260
Xiaomi,Mi Notebook,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.3kg,999.9
Lenovo,IdeaPad 320-17IKBR,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,698
Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.62kg,839
HP,ProBook 470,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.5kg,914
Razer,Blade Pro,17.3,Intel Core i7 7820HK 2.9GHz,32GB,3.49kg,6099
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.49kg,959
HP,Omen 17-W295,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3.35kg,1379
HP,Probook 470,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.5kg,1045
Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.65kg,1845
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,493
Acer,Aspire E5-576G,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.23kg,742
Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,3.2kg,1749
Dell,Precision 7520,15.6,Intel Xeon E3-1505M V6 3GHz,16GB,2.8kg,3055
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1398
Dell,Inspiron 3567,15.6,Intel Core i3 7100U 2.4GHz,6GB,2.3kg,439
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.21kg,1949
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1449
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,597
Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,779
Asus,ROG GL703VD-GC028T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,1407
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,349
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,549
Huawei,MateBook X,13,Intel Core i7 7500U 2.7GHz,8GB,1.05kg,1499
Dell,Inspiron 5370,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.4kg,931.88
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.8kg,589
HP,Probook 440,14,Intel Core i7 8550U 1.8GHz,8GB,1.63kg,1031
Dell,Latitude 5490,14,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,1149
Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.62kg,1279
