Company,Product,Inches,Cpu,Ram,Weight,Price_euros
Lenovo,ThinkPad Yoga,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.37kg,1950
Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),14,Intel Core i5 7200U 2.5GHz,8GB,1.56kg,902
Dell,Precision 3520,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.23kg,1778
Lenovo,ThinkPad L570,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.38kg,1055
Lenovo,IdeaPad 110-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,479
Toshiba,Tecra A50-D-11D,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.0kg,1388
Lenovo,Thinkpad 13,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.44kg,735
Samsung,Notebook 9,15,Intel Core i7 7500U 2.7GHz,16GB,1.23kg,1849
Dell,Latitude 7280,12.5,Intel Core i7 7600U 2.8GHz,8GB,1.6kg,1690
Asus,X541NA-GO121 (N4200/4GB/1TB/Linux),15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2kg,398.99
Xiaomi,Mi Notebook,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.28kg,935
Dell,Vostro 5568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,912.5
HP,ProBook 450,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.04kg,839
HP,EliteBook x360,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.28kg,1700
HP,Pavilion x360,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,684.8
Asus,VivoBook L402NA,14.1,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.65kg,348
Lenovo,IdeaPad 510-15ISK,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,669
Dell,Inspiron 3552,15.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,2.2kg,369
HP,EliteBook x360,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.28kg,1799
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.18kg,455.7
Asus,Rog GL753VD-GC082T,17.3,Intel Core i5 7300HQ 2.5GHz,12GB,2.2kg,1369.9
Acer,Chromebook C731-C78G,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.25kg,297
Lenovo,IdeaPad 110-17ACL,17.3,AMD A4-Series 7210 2.2GHz,4GB,2.8kg,379
HP,Probook 640,14,Intel Core i5 7200U 2.5GHz,4GB,1.95kg,1265
HP,Envy x360,13.3,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,1399
Samsung,Notebook 9,15,Intel Core i7 7500U 2.7GHz,8GB,1.17kg,1699
Lenovo,ThinkPad T470s,14,Intel Core i5 7200U 2.5GHz,8GB,1.32kg,1799
MSI,GS73VR Stealth,17.3,Intel Core i7 6700HQ 2.6GHz,16GB,2.43kg,2649
Toshiba,Portege X30-D-10V,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.05kg,1475
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,929
HP,ProBook 450,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.04kg,900
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.18kg,614
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,8GB,1.9kg,935
Dell,XPS 13,13.3,Intel Core i7 7Y75 1.3GHz,8GB,1.24kg,2013.1
Asus,G701VO-IH74K (i7-6820HK/32GB/2x,17.3,Intel Core i7 6820HK 2.7GHz,32GB,3.58kg,1279
Dell,XPS 13,13.3,Intel Core i7 7Y75 1.3GHz,16GB,1.22kg,1649
Lenovo,ThinkPad X1,14,Intel Core i7 7500U 2.7GHz,8GB,1.13kg,2049
Lenovo,ThinkPad T570,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.95kg,1962.99
LG,Gram 15Z970,15.6,Intel Core i7 7500U 2.7GHz,16GB,1.08kg,2099
HP,Elitebook 820,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.26kg,1483
Acer,Chromebook CB5-571-C1DZ,15.6,Intel Celeron Dual Core 3205U 1.5GHz,4GB,2.20kg,359
Lenovo,IdeaPad Y700-15ISK,15.6,Intel Core i5 6300HQ 2.3GHz,8GB,2.6kg,789
LG,Gram 14Z970,14,Intel Core i7 7500U 2.7GHz,8GB,0.98kg,1899
Dell,Latitude 5480,14,Intel Core i5 7440HQ 2.8GHz,8GB,1.6kg,1205
HP,Elitebook Folio,12.5,Intel Core M 6Y75 1.2GHz,8GB,1.09kg,3100
Lenovo,IdeaPad 510-15IKB,15.6,Intel Core i7 7500U 2.7GHz,6GB,2.2kg,789
HP,ProBook 450,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.04kg,1018.99
Acer,Aspire E5-575,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.4kg,499
Lenovo,ThinkPad 13,13.3,Intel Core i5 7200U 2.5GHz,4GB,1.44kg,881
HP,Probook 430,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.49kg,960
MSI,GE72VR 6RF,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.7kg,1599
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.6kg,1349
MSI,GL62M 7RD,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.2kg,1119.91
Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,684.99
HP,EliteBook 850,15.6,Intel Core i7 6500U 2.5GHz,8GB,1.84kg,1296.99
HP,Envy 13-AB077cl,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.39kg,1149
Toshiba,Tecra Z50-C-140,15.6,Intel Core i7 6600U 2.6GHz,16GB,2.4kg,1975
Lenovo,ThinkPad Yoga,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.37kg,1825
Dell,Latitude 3580,15.6,Intel Core i5 6200U 2.3GHz,4GB,1.95kg,729.9
Lenovo,Thinkpad X270,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.36kg,1650
HP,Probook 650,15.6,Intel Core i5 6200U 2.3GHz,8GB,2.31kg,1165
Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,708.06
HP,ProBook 640,14,Intel Core i5 6200U 2.3GHz,4GB,1.95kg,1149
Lenovo,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.2kg,309
HP,EliteBook 820,12.5,Intel Core i5 6200U 2.3GHz,4GB,1.26kg,1579
HP,250 G6,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.86kg,288.9
Lenovo,Yoga 900-13ISK,13.3,Intel Core i7 6560U 2.2GHz,16GB,1.3kg,1799
Toshiba,Tecra Z40-C-12X,14,Intel Core i5 6200U 2.3GHz,4GB,1.47kg,1105
HP,EliteBook 820,12.5,Intel Core i5 6200U 2.3GHz,8GB,1.26kg,1669
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.18kg,558.6
MSI,GP62M Leopard,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.2kg,1199
Dell,Latitude 7480,14,Intel Core i5 7200U 2.5GHz,8GB,1.36kg,1639
Dell,Alienware 17,17.3,Intel Core i7 6820HK 2.7GHz,16GB,4.36kg,2758
HP,Omen 17-W006na,17.3,Intel Core i5 6300HQ 2.3GHz,8GB,2.75kg,1399
Asus,X751SV-TY001T (N3710/4GB/1TB/GeForce,17.3,Intel Pentium Quad Core N3710 1.6GHz,4GB,2.8kg,530
Acer,TravelMate P259-G2,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.23kg,619
Toshiba,Tecra A50-C-1ZV,15.6,Intel Core i5 6200U 2.3GHz,8GB,2.2kg,1119
Lenovo,Yoga 700-11ISK,11.3,Intel Core M m7-6Y75 1.2GHz,8GB,1.1kg,1299
Lenovo,IdeaPad Y700-15ACZ,15.6,AMD FX 8800P 2.1GHz,16GB,2.5kg,999
Dell,Latitude 7280,12.5,Intel Core i5 7200U 2.5GHz,8GB,1.36kg,1472.2
Lenovo,IdeaPad 310-15IKB,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,685
Dell,Insprion 5767,17.3,Intel Core i3 6006U 2.0GHz,4GB,2.36kg,659
Acer,Chromebook 14,14,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.68kg,349
HP,ZBook Studio,15.6,Intel Core i7 6820HQ 2.7GHz,8GB,2.0kg,2249
Dell,Latitude 7480,14,Intel Core i7 7600U 2.8GHz,8GB,1.36kg,1775
Toshiba,Portege Z30-C-1CW,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.2kg,1460
Asus,Chromebook Flip,12.5,Intel Core M M7-6Y75 1.2GHz,8GB,1.2kg,1159
Lenovo,Thinkpad T460,14,Intel Core i7 6600U 2.6GHz,8GB,1.7kg,1488.99
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.36kg,3154
Dell,XPS 13,13.3,Intel Core i5 7Y54 1.2GHz,8GB,1.24kg,1899
HP,ProBook x360,11.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,1.45kg,775
Dell,XPS 13,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.3kg,1268
Acer,Chromebook C738T-C2EJ,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.25kg,389
Toshiba,Portege Z30-C-16Z,13.3,Intel Core i5 6300U 2.4GHz,8GB,1.2kg,1535
Lenovo,ThinkPad X270,12.5,Intel Core i5 7300U 2.6GHz,8GB,1.36kg,1760
Acer,Aspire F5-573G-510L,15.6,Intel Core i5 7200U 2.5GHz,12GB,2.4kg,1009
Toshiba,Portege X20W-D-10V,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.1kg,1790
HP,ProBook 450,15.6,Intel Core i5 7200U 2.50GHz,8GB,2.04kg,846.5
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.25kg,465.62
Dell,Latitude 5580,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,825
HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.04kg,685
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,32GB,4.42kg,3149
Lenovo,IdeaPad 310-15IKB,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.4kg,695
Dell,XPS 13,13.3,Intel Core i7 7Y75 1.3GHz,16GB,1.22kg,1899
Dell,Latitude E7470,14,Intel Core i7 6600U 2.6GHz,8GB,1.5kg,1962.98
Dell,Alienware 17,17.3,Intel Core i7 6700HQ 2.6GHz,32GB,4.42kg,2800
Toshiba,Tecra A40-C-1DF,14,Intel Core i5 6200U 2.3GHz,8GB,1.95kg,1180
Asus,Rog Strix,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.73kg,2049.9
HP,Probook 450,15.6,Intel Core i5 7200U 2.70GHz,8GB,2.04kg,979
Lenovo,ThinkPad T460,14,Intel Core i5 6200U 2.3GHz,4GB,1.70kg,1002
Asus,Q534UX-BHI7T19 (i7-7500U/16GB/2TB,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.3kg,1799
HP,15-bs053od (i7-7500U/6GB/1TB/W10),15.6,Intel Core i7 7500U 2.7GHz,6GB,2.04kg,579
Asus,Rog GL753VE-DS74,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.99kg,1749
Dell,Inspiron 7579,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.19kg,1299
Toshiba,Portege Z30-C-1CV,13.3,Intel Core i5 6200U 2.3GHz,4GB,1.2kg,1195
Lenovo,IdeaPad 320-15ABR,15.6,AMD A12-Series 9720P 3.6GHz,6GB,2.2kg,549
Fujitsu,LifeBook A556,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.3kg,649
Toshiba,Tecra A40-C-1KF,14,Intel Core i5 6200U 2.3GHz,4GB,1.75kg,915
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.25kg,599
HP,Probook 450,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.04kg,806
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1189
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.36kg,749
Dell,Latitude 5480,14,Intel Core i5 7200U 2.5GHz,8GB,1.6kg,1119
HP,EliteBook Folio,12.5,Intel Core M 6Y75 1.2GHz,8GB,0.97kg,1908
HP,15-bs005nv (i3-6006U/4GB/1TB,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,499
Lenovo,V110-15IAP (N3350/4GB/128GB/No,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.9kg,270.62
Lenovo,ThinkPad T560,15.6,Intel Core i5 6200U 2.3GHz,8GB,2.3kg,1349
Dell,Inspiron 5378,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.68kg,889
Asus,ZenBook UX310UA-FB485T,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.4kg,1150
HP,Spectre 13-V111dx,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.11kg,1349
Acer,Aspire ES1-533,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.4kg,380
Asus,Rog GL553VE-DS74,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1799
HP,EliteBook 840,14,Intel Core i7 7500U 2.7GHz,8GB,1.48kg,2089
Acer,Nitro 5,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1260
HP,ENVY -,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.34kg,1189
Dell,Vostro 3568,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.18kg,547
HP,Probook 440,14,Intel Core i5 7200U 2.5GHz,4GB,1.64kg,779
Toshiba,Portege Z30-C-16H,13.3,Intel Core i5 6200U 2.3GHz,4GB,1.2kg,1195
HP,EliteBook 840,14,Intel Core i5 6300U 2.4GHz,4GB,1.48kg,1099.99
HP,ProBook 640,14,Intel Core i5 7200U 2.5GHz,4GB,1.95kg,1205
HP,EliteBook 1040,14,Intel Core i7 6600U 2.6GHz,8GB,1.43kg,1449
HP,ProBook 440,14,Intel Core i5 7200U 2.5GHz,8GB,1.64kg,1049.26
HP,Probook 440,14,Intel Core i3 7100U 2.4GHz,4GB,1.64kg,684
Dell,Inspiron 7567,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.65kg,949
HP,EliteBook 820,12.5,Intel Core i5 7200U 2.5GHz,4GB,1.26kg,1539
HP,Elitebook 840,14,Intel Core i5 7200U 2.5GHz,4GB,1.48kg,1590
HP,EliteBook 840,14,Intel Core i7 6500U 2.5GHz,8GB,1.54kg,1887.21
HP,Probook 430,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.49kg,800
Toshiba,Portege A30-C-1CZ,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.5kg,1210
HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.04kg,769.99
Lenovo,ThinkPad P70,17.3,Intel Core i7 6820HQ 2.7GHz,16GB,2.4kg,2968
Toshiba,Tecra Z40-C-12Z,14,Intel Core i5 6200U 2.3GHz,8GB,1.47kg,1490
HP,EliteBook 1040,14,Intel Core i7 6500U 2.5GHz,8GB,1.43kg,2229
Dell,Inspiron 5568,15.6,Intel Core i3 6100U 2.3GHz,4GB,2.08kg,795.99
Toshiba,Portg Z30-C-16K,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.2kg,1590
HP,Spectre 13-V100nv,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.11kg,1149
HP,ProBook 440,14,Intel Core i7 7500U 2.7GHz,8GB,1.64kg,1185.43
Dell,Latitude E5570,15.6,Intel Core i5 6300U 2.4GHz,8GB,2.09kg,1046.44
HP,Elitebook 820,12.5,Intel Core i5 7200U 2.5GHz,4GB,1.26kg,1559
HP,ProBook 650,14,Intel Core i5 7200U 2.5GHz,4GB,2.31kg,1189
HP,ProBook 640,14,Intel Core i5 7200U 2.5GHz,4GB,1.95kg,1060
Dell,XPS 13,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.29kg,1624
HP,Probook 470,17.3,Intel Core i5 7200U 2.5GHz,8GB,2.63kg,1080
HP,ProBook 440,14,Intel Core i5 7200U 2.5GHz,4GB,1.64kg,973
Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,6GB,2.1kg,409
MSI,GL72M 7RDX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1191.8
HP,Probook 640,14,Intel Core i5 6200U 2.3GHz,8GB,1.95kg,1195
HP,EliteBook 850,15.6,Intel Core i7 6500U 2.5GHz,8GB,1.84kg,1228.99
HP,EliteBook 820,12.5,Intel Core i7 6500U 2.5GHz,8GB,1.26kg,1349
HP,ProBook 450,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.04kg,742
Toshiba,Tecra Z40-C-136,14,Intel Core i7 6600U 2.6GHz,8GB,1.47kg,1725
Dell,Latitude E5570,15.6,Intel Core i5 6300U 2.4GHz,8GB,2.09kg,1062.95
HP,ProBook 440,14,Intel Core i5 7200U 2.5GHz,8GB,1.64kg,1010.51
Lenovo,Yoga 500-15ISK,15.6,Intel Core i7 6500U 2.5GHz,4GB,1.8kg,847
Vero,V142 (X5-Z8350/2GB/32GB/W10),14,Intel Atom X5-Z8350 1.44GHz,2GB,1.45kg,210.8
Toshiba,Tecra A50-C-218,15.6,Intel Core i7 6500U 2.5GHz,16GB,2.4kg,1425
Lenovo,Thinkpad L560,15.6,Intel Core i5 6200U 2.3GHz,8GB,2.3kg,1049.6
HP,EliteBook 840,14,Intel Core i5 6200U 2.3GHz,4GB,1.54kg,1000
HP,EliteBook 850,15.6,Intel Core i5 6300U 2.4GHz,8GB,1.84kg,2103.34
HP,EliteBook 1040,14,Intel Core i5 6200U 2.3GHz,8GB,1.43kg,1469
MSI,GT72S Dominator,17.3,Intel Core i7 6820HK 2.7GHz,16GB,3.78kg,1545.64
Lenovo,IdeaPad Y900-17ISK,17.3,Intel Core i7 6700HQ 2.6GHz,16GB,4.6kg,2289.99
Asus,Chromebook C202SA,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.2kg,287.9
Lenovo,ThinkPad X1,14,Intel Core i7 6600U 2.6GHz,16GB,1.1kg,2620
HP,Noteb Pav,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.91kg,979
Dell,Inspiron 5578,15.6,Intel Core i5 7200U 2.7GHz,8GB,2.3kg,1094
HP,ProBook 450,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.04kg,979
Dell,XPS 13,13.3,Intel Core i7 7500U 2.7GHz,16GB,1.2kg,2254
HP,ProBook 650,15.6,Intel Core i3 6100U 2.3GHz,4GB,2.31kg,705.15
HP,250 G5,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.96kg,499
Acer,Aspire ES1-523,15.6,AMD A8-Series 7410 2.2GHz,8GB,2.4kg,449
Dell,Inspiron 7378,13.3,Intel Core i7 7500U 2.7GHz,12GB,1.6kg,1299
MSI,GT62VR 6RD,15.6,Intel Core i7 6700HQ 2.6GHz,16GB,2.94kg,1819
HP,ProBook 450,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.04kg,1070
Asus,Rog G752VL-GC088D,17.3,Intel Core i7 6700HQ 2.6GHz,16GB,4kg,998
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.25kg,559
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.32kg,989.99
MSI,GS63VR 6RF,15.6,Intel Core i7 6700HQ 2.6GHz,16GB,1.8kg,1929
Dell,XPS 13,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.29kg,1458
Asus,ROG G701VO,17.3,Intel Core i7 6820HK 2.7GHz,64GB,3.58kg,3975
Dell,Inspiron 5368,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.62kg,798.01
Dell,Alienware 15,15.6,Intel Core i7 6700HQ 2.6GHz,16GB,3.21kg,1329
Apple,"MacBook 12""",12,Intel Core M 1.1GHz,8GB,0.920kg,1300
Dell,Latitude 3570,15.6,Intel Core i3 6100U 2.3GHz,4GB,2.06kg,481.98
HP,ProBook 650,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.31kg,1199
HP,EliteBook 820,12.5,Intel Core i5 6200U 2.3GHz,8GB,1.26kg,1199
HP,ProBook 430,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.49kg,1090
Lenovo,ThinkPad Yoga,12.5,Intel Core i7 6500U 2.5GHz,8GB,1.3kg,1713.49
Lenovo,IdeaPad 300-17ISK,17.3,Intel Core i5 6200U 2.3GHz,8GB,3.0kg,659
Lenovo,Ideapad 700-15ISK,15.6,Intel Core i5 6300HQ 2.3GHz,4GB,2.3kg,977
MSI,GT72VR Dominator,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3.78kg,2499
Lenovo,V110-15ISK (i5-6200U/4GB/500GB/W10),15.6,Intel Core i5 6200U 2.3GHz,4GB,2.1kg,540
HP,Probook 650,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.31kg,940
Lenovo,Yoga 900S-12ISK,12.5,Intel Core M 6Y75 1.2GHz,8GB,0.99kg,1399
Lenovo,IdeaPad Y900-17ISK,17.3,Intel Core i7 6820HK 2.7GHz,32GB,4.6kg,3240
Lenovo,Yoga Book,10.1,Intel Atom x5-Z8550 1.44GHz,4GB,0.69kg,646.27
HP,Spectre x360,13.3,Intel Core i7 7500U 2.7GHz,16GB,1.3kg,2049
Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.18kg,750
HP,EliteBook 840,14,Intel Core i5 6200U 2.3GHz,4GB,1.54kg,1030.99
HP,ZBook 15u,15.6,Intel Core i7 6500U 2.5GHz,8GB,1.9kg,1495
Lenovo,ThinkPad T460,14,Intel Core i5 6200U 2.3GHz,8GB,1.7kg,1199
HP,Chromebook 13,13.3,Intel Pentium Dual Core 4405Y 1.5GHz,4GB,1.29kg,615
Acer,Aspire ES1-523,15.6,AMD A8-Series 7410 2.2GHz,4GB,2.4kg,387
